"TaskName","TaskPath","State","Author","Date","LastRunTime","NextRunTime"
"CacheTask","\Microsoft\Windows\Wininet\","Running","Microsoft",,,
"CDSSync","\Microsoft\Windows\WlanSvc\","Ready",,,,
"MoProfileManagement","\Microsoft\Windows\WlanSvc\","Ready",,,,
"WIM-Hash-Management","\Microsoft\Windows\WOF\","Ready","Microsoft Corporation",,,
"WIM-Hash-Validation","\Microsoft\Windows\WOF\","Ready","Microsoft Corporation",,,
"Work Folders Logon Synchronization","\Microsoft\Windows\Work Folders\","Ready","Microsoft Corporation",,,
"Work Folders Maintenance Work","\Microsoft\Windows\Work Folders\","Ready","Microsoft Corporation",,,
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\","Ready",,,,
"Device-Sync","\Microsoft\Windows\Workplace Join\","Disabled","Microsoft Corporation",,,
"Recovery-Check","\Microsoft\Windows\Workplace Join\","Disabled",,,,
"NotificationTask","\Microsoft\Windows\WwanSvc\","Ready","Microsoft Corporation",,,
"OobeDiscovery","\Microsoft\Windows\WwanSvc\","Ready",,,,
"XblGameSaveTask","\Microsoft\XblGameSave\","Ready","Microsoft",,,
